date,open,high,low,close,close_24,high_24,low_24,range,range_24,change_24
2018-07-06,1.322,1.329,1.3201,1.3285,1.3304,1.3304,1.3201,0.008899999999999908,0.010299999999999976,0.008399999999999963
2018-07-05,1.3229,1.3275,1.3202,1.322,1.322,1.3275,1.3202,0.007299999999999862,0.007299999999999862,-0.0008999999999999009
2018-07-04,1.3192,1.325,1.3169,1.3228,1.3229,1.325,1.3169,0.008099999999999996,0.008099999999999996,0.0037000000000000366
2018-07-03,1.3141,1.3207,1.3113,1.3191,1.3192,1.3207,1.3113,0.009400000000000075,0.009400000000000075,0.005099999999999882
2018-07-02,1.3204,1.3209,1.3094,1.3141,1.3141,1.3209,1.3094,0.011500000000000066,0.011500000000000066,-0.006299999999999972
2018-07-01,1.318,1.3208,1.3162,1.3203,1.3204,1.3208,1.3162,0.0045999999999999375,0.0045999999999999375,0.0023999999999999577
2018-06-29,1.3077,1.3214,1.3067,1.3207,1.318,1.3214,1.3067,0.014699999999999935,0.014699999999999935,0.010299999999999976
2018-06-28,1.3119,1.3121,1.3049,1.3077,1.3077,1.3121,1.3049,0.007200000000000095,0.007200000000000095,-0.0041999999999999815
2018-06-27,1.3223,1.3234,1.3105,1.3119,1.3119,1.3234,1.3105,0.012899999999999912,0.012899999999999912,-0.010399999999999965
2018-06-26,1.3282,1.3292,1.3191,1.3223,1.3223,1.3292,1.3191,0.010099999999999998,0.010099999999999998,-0.005900000000000016
2018-06-25,1.3269,1.3291,1.3219,1.3281,1.3282,1.3291,1.3219,0.007199999999999873,0.007199999999999873,0.0013000000000000789
2018-06-24,1.3272,1.3272,1.3246,1.3268,1.3269,1.3272,1.3246,0.0025999999999999357,0.0025999999999999357,-0.00029999999999996696
2018-06-22,1.3246,1.3315,1.3243,1.3263,1.3272,1.3315,1.3243,0.007199999999999873,0.007199999999999873,0.0025999999999999357
2018-06-21,1.3172,1.327,1.3101,1.3246,1.3246,1.327,1.3101,0.016899999999999915,0.016899999999999915,0.007400000000000073
2018-06-20,1.3172,1.3217,1.3146,1.3172,1.3172,1.3217,1.3146,0.007100000000000106,0.007100000000000106,0.0
2018-06-19,1.3245,1.3273,1.3149,1.3171,1.3172,1.3273,1.3149,0.012399999999999967,0.012399999999999967,-0.007300000000000084
2018-06-18,1.3271,1.3276,1.3224,1.3245,1.3245,1.3276,1.3224,0.005199999999999871,0.005199999999999871,-0.0025999999999999357
2018-06-17,1.3273,1.3281,1.3251,1.3271,1.3271,1.3281,1.3251,0.0030000000000001137,0.0030000000000001137,-0.00019999999999997797
2018-06-15,1.3271,1.3298,1.3209,1.3275,1.3273,1.3298,1.3209,0.00890000000000013,0.00890000000000013,0.00019999999999997797
2018-06-14,1.3379,1.3447,1.3254,1.327,1.3271,1.3447,1.3254,0.019300000000000095,0.019300000000000095,-0.010800000000000143
2018-06-13,1.337,1.3389,1.3306,1.3378,1.3379,1.3389,1.3306,0.008299999999999974,0.008299999999999974,0.0009000000000001229
2018-06-12,1.3377,1.3425,1.334,1.3369,1.337,1.3425,1.334,0.008499999999999952,0.008499999999999952,-0.0006999999999999229
2018-06-11,1.3405,1.3441,1.3343,1.3377,1.3377,1.3441,1.3343,0.009800000000000031,0.009800000000000031,-0.0028000000000001357
2018-06-10,1.3402,1.3414,1.3397,1.3405,1.3405,1.3414,1.3397,0.0017000000000000348,0.0017000000000000348,0.00029999999999996696
2018-06-08,1.3422,1.3439,1.3353,1.3401,1.3402,1.3439,1.3353,0.008600000000000163,0.008600000000000163,-0.0020000000000000018
2018-06-07,1.3419,1.3473,1.3371,1.3421,1.3422,1.3473,1.3371,0.010199999999999987,0.010199999999999987,0.00029999999999996696
2018-06-06,1.3401,1.3443,1.3396,1.3419,1.3419,1.3443,1.3396,0.0047000000000001485,0.0047000000000001485,0.0018000000000000238
2018-06-05,1.3314,1.3409,1.33,1.3402,1.3401,1.3409,1.33,0.01089999999999991,0.01089999999999991,0.008700000000000152
2018-06-04,1.3351,1.3399,1.3293,1.3314,1.3314,1.3399,1.3293,0.010600000000000165,0.010600000000000165,-0.0037000000000000366
2018-06-03,1.3342,1.3351,1.3336,1.3351,1.3351,1.3351,1.3336,0.0015000000000000568,0.0015000000000000568,0.0008999999999999009
2018-06-01,1.3299,1.3362,1.3252,1.3346,1.3342,1.3362,1.3252,0.01100000000000012,0.01100000000000012,0.0042999999999999705
2018-05-31,1.3284,1.3348,1.3276,1.3299,1.3299,1.3348,1.3276,0.007200000000000095,0.007200000000000095,0.0015000000000000568
2018-05-30,1.3256,1.3307,1.324,1.3284,1.3284,1.3307,1.324,0.006699999999999928,0.006699999999999928,0.0028000000000001357
2018-05-29,1.3312,1.3325,1.3204,1.3256,1.3256,1.3325,1.3204,0.0121,0.0121,-0.005600000000000049
2018-05-28,1.331,1.3341,1.3294,1.3311,1.3312,1.3341,1.3294,0.0047000000000001485,0.0047000000000001485,0.00019999999999997797
2018-05-27,1.3312,1.3322,1.3296,1.331,1.331,1.3322,1.3296,0.0026000000000001577,0.0026000000000001577,-0.00019999999999997797
2018-05-25,1.3385,1.3385,1.3292,1.3307,1.3312,1.3385,1.3292,0.009300000000000086,0.009300000000000086,-0.007300000000000084
2018-05-24,1.3355,1.3422,1.3348,1.3384,1.3385,1.3422,1.3348,0.007400000000000073,0.007400000000000073,0.0030000000000001137
2018-05-23,1.3434,1.3442,1.3304,1.3355,1.3355,1.3442,1.3304,0.013800000000000034,0.013800000000000034,-0.007900000000000018
2018-05-22,1.3433,1.3492,1.3411,1.3434,1.3434,1.3492,1.3411,0.008099999999999996,0.008099999999999996,9.999999999998899e-05
2018-05-21,1.3475,1.3479,1.3389,1.3432,1.3433,1.3479,1.3389,0.009000000000000119,0.009000000000000119,-0.0041999999999999815
2018-05-20,1.3472,1.3483,1.3458,1.3475,1.3475,1.3483,1.3458,0.0024999999999999467,0.0024999999999999467,0.00029999999999996696
2018-05-18,1.3517,1.3528,1.3453,1.3466,1.3472,1.3528,1.3453,0.007500000000000062,0.007500000000000062,-0.0044999999999999485
2018-05-17,1.3525,1.3569,1.3472,1.3515,1.3517,1.3569,1.3472,0.009700000000000042,0.009700000000000042,-0.0008000000000001339
2018-05-16,1.3495,1.3527,1.3454,1.3525,1.3525,1.3527,1.3454,0.007300000000000084,0.007300000000000084,0.0030000000000001137
2018-05-15,1.3559,1.3572,1.345,1.3495,1.3495,1.3572,1.345,0.012199999999999989,0.012199999999999989,-0.006400000000000183
2018-05-14,1.3547,1.3608,1.3542,1.3559,1.3559,1.3608,1.3542,0.006599999999999939,0.006599999999999939,0.0012000000000000899
2018-05-13,1.3545,1.3547,1.3537,1.3546,1.3547,1.3547,1.3537,0.001000000000000112,0.001000000000000112,0.00019999999999997797
2018-05-11,1.3519,1.3596,1.35,1.354,1.3545,1.3596,1.35,0.009599999999999831,0.009599999999999831,0.0025999999999999357
2018-05-10,1.3548,1.3618,1.3459,1.3518,1.3519,1.3618,1.3459,0.015899999999999803,0.015899999999999803,-0.0028999999999999027
2018-05-09,1.3545,1.3607,1.3497,1.3549,1.3548,1.3607,1.3497,0.01100000000000012,0.01100000000000012,0.00029999999999996696
2018-05-08,1.3559,1.3593,1.3483,1.3545,1.3545,1.3593,1.3483,0.010999999999999899,0.010999999999999899,-0.0014000000000000679
2018-05-07,1.3536,1.3576,1.3514,1.3559,1.3559,1.3576,1.3514,0.006199999999999983,0.006199999999999983,0.0023000000000001908
2018-05-06,1.3533,1.354,1.3523,1.3537,1.3536,1.354,1.3523,0.0017000000000000348,0.0017000000000000348,0.00029999999999996696
2018-05-04,1.357,1.3586,1.3485,1.3526,1.3533,1.3586,1.3485,0.010099999999999998,0.010099999999999998,-0.0037000000000000366
2018-05-03,1.3574,1.363,1.3536,1.357,1.357,1.363,1.3536,0.009400000000000075,0.009400000000000075,-0.00039999999999995595
2018-05-02,1.3609,1.3666,1.3553,1.3573,1.3574,1.3666,1.3553,0.011300000000000088,0.011300000000000088,-0.0035000000000000586
2018-05-01,1.3768,1.3773,1.3587,1.3609,1.3609,1.3773,1.3587,0.01859999999999995,0.01859999999999995,-0.015900000000000025
2018-04-30,1.3775,1.3792,1.3711,1.3768,1.3768,1.3792,1.3711,0.008099999999999996,0.008099999999999996,-0.0006999999999999229
2018-04-29,1.3774,1.3779,1.3764,1.3774,1.3775,1.3779,1.3764,0.0014999999999998348,0.0014999999999998348,9.999999999998899e-05
2018-04-27,1.3914,1.3935,1.3746,1.3774,1.3774,1.3935,1.3746,0.018899999999999917,0.018899999999999917,-0.014000000000000012
2018-04-26,1.3933,1.3998,1.3894,1.3915,1.3914,1.3998,1.3894,0.010399999999999965,0.010399999999999965,-0.0019000000000000128
2018-04-25,1.398,1.3997,1.392,1.3931,1.3933,1.3997,1.392,0.00770000000000004,0.00770000000000004,-0.0046999999999999265
2018-04-24,1.3939,1.3987,1.3916,1.398,1.398,1.3987,1.3916,0.007100000000000106,0.007100000000000106,0.0040999999999999925
2018-04-23,1.4005,1.4031,1.3924,1.3938,1.3939,1.4031,1.3924,0.010699999999999932,0.010699999999999932,-0.006600000000000161
2018-04-22,1.4011,1.4015,1.3991,1.4004,1.4005,1.4015,1.3991,0.0023999999999999577,0.0023999999999999577,-0.0005999999999999339
2018-04-20,1.408,1.4088,1.3992,1.3997,1.4011,1.4088,1.3992,0.009600000000000053,0.009600000000000053,-0.006899999999999906
2018-04-19,1.4206,1.4246,1.4068,1.408,1.408,1.4246,1.4068,0.017800000000000038,0.017800000000000038,-0.012600000000000167
2018-04-18,1.4294,1.4315,1.4172,1.4206,1.4206,1.4315,1.4172,0.01429999999999998,0.01429999999999998,-0.008799999999999919
